LOCATION,Country,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value
AUS,Australia,2010,2010,USD,US Dollar,0,Units,2015,2015,4028.39
AUS,Australia,2011,2011,USD,US Dollar,0,Units,2015,2015,4154.97
AUS,Australia,2012,2012,USD,US Dollar,0,Units,2015,2015,4150.272
AUS,Australia,2013,2013,USD,US Dollar,0,Units,2015,2015,4192.865
AUS,Australia,2014,2014,USD,US Dollar,0,Units,2015,2015,4269.388
AUS,Australia,2015,2015,USD,US Dollar,0,Units,2015,2015,4380.985
AUS,Australia,2016,2016,USD,US Dollar,0,Units,2015,2015,4473.195
AUS,Australia,2017,2017,USD,US Dollar,0,Units,2015,2015,4551.267
AUS,Australia,2018,2018,USD,US Dollar,0,Units,2015,2015,4672.434
AUT,Austria,2010,2010,USD,US Dollar,0,Units,2015,2015,4824.976
AUT,Austria,2011,2011,USD,US Dollar,0,Units,2015,2015,4803.243
AUT,Austria,2012,2012,USD,US Dollar,0,Units,2015,2015,4881.083
AUT,Austria,2013,2013,USD,US Dollar,0,Units,2015,2015,4878.491
AUT,Austria,2014,2014,USD,US Dollar,0,Units,2015,2015,4922.358
AUT,Austria,2015,2015,USD,US Dollar,0,Units,2015,2015,4944.771
AUT,Austria,2016,2016,USD,US Dollar,0,Units,2015,2015,4998.855
AUT,Austria,2017,2017,USD,US Dollar,0,Units,2015,2015,5044.63
AUT,Austria,2018,2018,USD,US Dollar,0,Units,2015,2015,5098.54
BEL,Belgium,2010,2010,USD,US Dollar,0,Units,2015,2015,4460.971
BEL,Belgium,2011,2011,USD,US Dollar,0,Units,2015,2015,4480.399
BEL,Belgium,2012,2012,USD,US Dollar,0,Units,2015,2015,4529.664
BEL,Belgium,2013,2013,USD,US Dollar,0,Units,2015,2015,4556.975
BEL,Belgium,2014,2014,USD,US Dollar,0,Units,2015,2015,4566.213
BEL,Belgium,2015,2015,USD,US Dollar,0,Units,2015,2015,4653.813
BEL,Belgium,2016,2016,USD,US Dollar,0,Units,2015,2015,4652.851
