LOCATION,Country,SEX,Sex,AGE,Age,TIME,Time,Value
AUS,Australia,T,Total,TOTAL,Total,2010,2010,22031750
AUS,Australia,T,Total,TOTAL,Total,2011,2011,22340024
AUS,Australia,T,Total,TOTAL,Total,2012,2012,22733465
AUS,Australia,T,Total,TOTAL,Total,2013,2013,23128129
AUS,Australia,T,Total,TOTAL,Total,2014,2014,23475686
AUS,Australia,T,Total,TOTAL,Total,2015,2015,23815995
AUS,Australia,T,Total,TOTAL,Total,2016,2016,24190907
AUS,Australia,T,Total,TOTAL,Total,2017,2017,24601860
AUS,Australia,T,Total,TOTAL,Total,2018,2018,24992860
AUT,Austria,T,Total,TOTAL,Total,2010,2010,8361069
AUT,Austria,T,Total,TOTAL,Total,2011,2011,8388534
AUT,Austria,T,Total,TOTAL,Total,2012,2012,8426311
AUT,Austria,T,Total,TOTAL,Total,2013,2013,8477230
AUT,Austria,T,Total,TOTAL,Total,2014,2014,8543932
AUT,Austria,T,Total,TOTAL,Total,2015,2015,8629519
AUT,Austria,T,Total,TOTAL,Total,2016,2016,8739806
AUT,Austria,T,Total,TOTAL,Total,2017,2017,8795073
AUT,Austria,T,Total,TOTAL,Total,2018,2018,8837707
BEL,Belgium,T,Total,TOTAL,Total,2010,2010,10895589
BEL,Belgium,T,Total,TOTAL,Total,2011,2011,10993616
BEL,Belgium,T,Total,TOTAL,Total,2012,2012,11067748
BEL,Belgium,T,Total,TOTAL,Total,2013,2013,11125033
BEL,Belgium,T,Total,TOTAL,Total,2014,2014,11179778
BEL,Belgium,T,Total,TOTAL,Total,2015,2015,11238474
BEL,Belgium,T,Total,TOTAL,Total,2016,2016,11295003
BEL,Belgium,T,Total,TOTAL,Total,2017,2017,11349081
BEL,Belgium,T,Total,TOTAL,Total,2018,2018,11403740
CAN,Canada,T,Total,TOTAL,Total,2010,2010,34004889
CAN,Canada,T,Total,TOTAL,Total,2011,2011,34339328
CAN,Canada,T,Total,TOTAL,Total,2012,2012,34714222
CAN,Canada,T,Total,TOTAL,Total,2013,2013,35082954
CAN,Canada,T,Total,TOTAL,Total,2014,2014,35437435
CAN,Canada,T,Total,TOTAL,Total,2015,2015,35702908
CAN,Canada,T,Total,TOTAL,Total,2016,2016,36109487
CAN,Canada,T,Total,TOTAL,Total,2017,2017,36540268
CAN,Canada,T,Total,TOTAL,Total,2018,2018,37058856
CZE,Czech Republic,T,Total,TOTAL,Total,2010,2010,10517247
CZE,Czech Republic,T,Total,TOTAL,Total,2011,2011,10496672
CZE,Czech Republic,T,Total,TOTAL,Total,2012,2012,10509286
CZE,Czech Republic,T,Total,TOTAL,Total,2013,2013,10510719
